strain,stress,strain_rate,temperature
0.0027,0.30087612,50000000,600
0.00271,0.309484589,50000000,600
0.00272,0.318852647,50000000,600
0.00273,0.301431785,50000000,600
0.00274,0.307915516,50000000,600
0.00275,0.319594802,50000000,600
0.00276,0.337259305,50000000,600
0.00277,0.3296218,50000000,600
0.00278,0.334908216,50000000,600
0.00279,0.326367562,50000000,600
0.0028,0.324829703,50000000,600
0.00281,0.324809352,50000000,600
0.00282,0.326633297,50000000,600
0.00283,0.330282258,50000000,600
0.00284,0.300423429,50000000,600
0.00285,0.296217274,50000000,600
0.00286,0.304785547,50000000,600
0.00287,0.312713234,50000000,600
0.00288,0.319277498,50000000,600
0.00289,0.331201771,50000000,600
0.0029,0.32414467,50000000,600
0.00291,0.349027574,50000000,600
0.00292,0.349050924,50000000,600
0.00293,0.341874341,50000000,600
0.00294,0.332646727,50000000,600
0.00295,0.34913758,50000000,600
0.00296,0.317546253,50000000,600
0.00297,0.316998776,50000000,600
0.00298,0.327367342,50000000,600
0.00299,0.312363885,50000000,600
0.003,0.329340356,50000000,600
0.00301,0.306572773,50000000,600
0.00302,0.312631233,50000000,600
0.00303,0.318929443,50000000,600
0.00304,0.326982843,50000000,600
0.00305,0.333386398,50000000,600
0.00306,0.333583792,50000000,600
0.00307,0.345849975,50000000,600
0.00308,0.353173537,50000000,600
0.00309,0.352817821,50000000,600
0.0031,0.355571135,50000000,600
0.00311,0.342159664,50000000,600
0.00312,0.342486691,50000000,600
0.00313,0.336012359,50000000,600
0.00314,0.314558658,50000000,600
0.00315,0.308154642,50000000,600
0.00316,0.326557032,50000000,600
0.00317,0.323533394,50000000,600
0.00318,0.329913206,50000000,600
0.00319,0.333828587,50000000,600
0.0032,0.325841572,50000000,600
0.00321,0.336271966,50000000,600
0.00322,0.338803868,50000000,600
0.00323,0.343615423,50000000,600
0.00324,0.345063125,50000000,600
0.00325,0.346036315,50000000,600
0.00326,0.323923139,50000000,600
0.00327,0.324133219,50000000,600
0.00328,0.338817253,50000000,600
0.00329,0.321535096,50000000,600
0.0033,0.320007536,50000000,600
0.00331,0.324885516,50000000,600
0.00332,0.332252805,50000000,600
0.00333,0.323985409,50000000,600
0.00334,0.355182124,50000000,600
0.00335,0.338459239,50000000,600
0.00336,0.347552898,50000000,600
0.00337,0.35194987,50000000,600
0.00338,0.371488804,50000000,600
0.00339,0.373695808,50000000,600
0.0034,0.346923506,50000000,600
0.00341,0.35025028,50000000,600
0.00342,0.36059976,50000000,600
0.00343,0.345617175,50000000,600
0.00344,0.325937757,50000000,600
0.00345,0.323149559,50000000,600
0.00346,0.323526817,50000000,600
0.00347,0.321846203,50000000,600
0.00348,0.330417562,50000000,600
0.00349,0.337646529,50000000,600
0.0035,0.326045745,50000000,600
0.00351,0.335610575,50000000,600
0.00352,0.358095927,50000000,600
0.00353,0.378332558,50000000,600
0.00354,0.390108258,50000000,600
0.00355,0.387233046,50000000,600
0.00356,0.350983432,50000000,600
0.00357,0.360740295,50000000,600
0.00358,0.355538144,50000000,600
0.00359,0.360504633,50000000,600
0.0036,0.343858683,50000000,600
0.00361,0.34963289,50000000,600
0.00362,0.325319928,50000000,600
0.00363,0.321345167,50000000,600
0.00364,0.339798791,50000000,600
0.00365,0.340867537,50000000,600
0.00366,0.351282847,50000000,600
0.00367,0.342759097,50000000,600
0.00368,0.371644056,50000000,600
0.00369,0.362876151,50000000,600
0.0037,0.359729657,50000000,600
0.00371,0.355752565,50000000,600
0.00372,0.35826125,50000000,600
0.00373,0.371650469,50000000,600
0.00374,0.341812891,50000000,600
0.00375,0.354397229,50000000,600
0.00376,0.354786256,50000000,600
0.00377,0.362490788,50000000,600
0.00378,0.341121512,50000000,600
0.00379,0.327052843,50000000,600
0.0038,0.343926786,50000000,600
0.00381,0.358873487,50000000,600
0.00382,0.351296474,50000000,600
0.00383,0.333098775,50000000,600
0.00384,0.350967015,50000000,600
0.00385,0.359370839,50000000,600
0.00386,0.367191764,50000000,600
0.00387,0.366281237,50000000,600
0.00388,0.350395979,50000000,600
0.00389,0.344641653,50000000,600
0.0039,0.372843229,50000000,600
0.00391,0.356535444,50000000,600
0.00392,0.361976598,50000000,600
0.00393,0.353560654,50000000,600
0.00394,0.333343416,50000000,600
0.00395,0.372281983,50000000,600
0.00396,0.369717289,50000000,600
0.00397,0.369060174,50000000,600
0.00398,0.375031367,50000000,600
0.00399,0.361004971,50000000,600
0.004,0.367125861,50000000,600
0.00401,0.336351049,50000000,600
0.00402,0.355645213,50000000,600
0.00403,0.362314925,50000000,600
0.00404,0.33861726,50000000,600
0.00405,0.362978701,50000000,600
0.00406,0.357604002,50000000,600
0.00407,0.346298749,50000000,600
0.00408,0.360690423,50000000,600
0.00409,0.351934592,50000000,600
0.0041,0.353455954,50000000,600
0.00411,0.348272776,50000000,600
0.00412,0.370153184,50000000,600
0.00413,0.381345922,50000000,600
0.00414,0.379547676,50000000,600
0.00415,0.375986657,50000000,600
0.00416,0.35989249,50000000,600
0.00417,0.367333313,50000000,600
0.00418,0.361963842,50000000,600
0.00419,0.36904225,50000000,600
0.0042,0.360357306,50000000,600
0.00421,0.363109123,50000000,600
0.00422,0.340409957,50000000,600
0.00423,0.365800344,50000000,600
0.00424,0.359655953,50000000,600
0.00425,0.38870063,50000000,600
0.00426,0.377650497,50000000,600
0.00427,0.383796531,50000000,600
0.00428,0.379332092,50000000,600
0.00429,0.372634631,50000000,600
0.0043,0.378482464,50000000,600
0.00431,0.374469823,50000000,600
0.00432,0.36068221,50000000,600
0.00433,0.361048436,50000000,600
0.00434,0.375126271,50000000,600
0.00435,0.361948723,50000000,600
0.00436,0.373469375,50000000,600
0.00437,0.367209816,50000000,600
0.00438,0.390739877,50000000,600
0.00439,0.369156435,50000000,600
0.0044,0.351626977,50000000,600
0.00441,0.355134342,50000000,600
0.00442,0.375552666,50000000,600
0.00443,0.381804061,50000000,600
0.00444,0.381575615,50000000,600
0.00445,0.36347756,50000000,600
0.00446,0.370573209,50000000,600
0.00447,0.363809054,50000000,600
0.00448,0.384868056,50000000,600
0.00449,0.381501415,50000000,600
0.0045,0.356919117,50000000,600
0.00451,0.361914878,50000000,600
0.00452,0.376809491,50000000,600
0.00453,0.378724624,50000000,600
0.00454,0.375359974,50000000,600
0.00455,0.376556037,50000000,600
0.00456,0.397524322,50000000,600
0.00457,0.407944824,50000000,600
0.00458,0.393802678,50000000,600
0.00459,0.396936461,50000000,600
0.0046,0.389017701,50000000,600
0.00461,0.375527488,50000000,600
0.00462,0.362541873,50000000,600
0.00463,0.354369233,50000000,600
0.00464,0.363360417,50000000,600
0.00465,0.374461337,50000000,600
0.00466,0.366761767,50000000,600
0.00467,0.376968993,50000000,600
0.00468,0.387914957,50000000,600
0.00469,0.390857747,50000000,600
0.0047,0.400871176,50000000,600
0.00471,0.385396594,50000000,600
0.00472,0.398692102,50000000,600
0.00473,0.393685666,50000000,600
0.00474,0.393375375,50000000,600
0.00475,0.406701566,50000000,600
0.00476,0.407284915,50000000,600
0.00477,0.388563634,50000000,600
0.00478,0.391559914,50000000,600
0.00479,0.390207008,50000000,600
0.0048,0.386151632,50000000,600
0.00481,0.38663659,50000000,600
0.00482,0.372296148,50000000,600
0.00483,0.387650987,50000000,600
0.00484,0.385341906,50000000,600
0.00485,0.392527563,50000000,600
0.00486,0.380572899,50000000,600
0.00487,0.388202398,50000000,600
0.00488,0.394480695,50000000,600
0.00489,0.367954495,50000000,600
0.0049,0.383222461,50000000,600
0.00491,0.407285978,50000000,600
0.00492,0.42045453,50000000,600
0.00493,0.40137442,50000000,600
0.00494,0.37392743,50000000,600
0.00495,0.36928259,50000000,600
0.00496,0.37155846,50000000,600
0.00497,0.403472717,50000000,600
