strain,stress,strain_rate,temperature
0.00336,0.370495398,50000000,450
0.00337,0.368610464,50000000,450
0.00338,0.376700038,50000000,450
0.00339,0.36207463,50000000,450
0.0034,0.361063401,50000000,450
0.00341,0.375265238,50000000,450
0.00342,0.38515259,50000000,450
0.00343,0.376848995,50000000,450
0.00344,0.384307808,50000000,450
0.00345,0.393390339,50000000,450
0.00346,0.394161995,50000000,450
0.00347,0.383901449,50000000,450
0.00348,0.392823865,50000000,450
0.00349,0.396969191,50000000,450
0.0035,0.391843982,50000000,450
0.00351,0.397020189,50000000,450
0.00352,0.393240314,50000000,450
0.00353,0.392702872,50000000,450
0.00354,0.37535415,50000000,450
0.00355,0.390658497,50000000,450
0.00356,0.387995411,50000000,450
0.00357,0.391214802,50000000,450
0.00358,0.389974921,50000000,450
0.00359,0.39447415,50000000,450
0.0036,0.37708805,50000000,450
0.00361,0.384868057,50000000,450
0.00362,0.394612198,50000000,450
0.00363,0.390643093,50000000,450
0.00364,0.403878824,50000000,450
0.00365,0.397562796,50000000,450
0.00366,0.39868079,50000000,450
0.00367,0.407985648,50000000,450
0.00368,0.400183976,50000000,450
0.00369,0.416173167,50000000,450
0.0037,0.40772331,50000000,450
0.00371,0.398887187,50000000,450
0.00372,0.409575709,50000000,450
0.00373,0.379985806,50000000,450
0.00374,0.391407513,50000000,450
0.00375,0.394925682,50000000,450
0.00376,0.403272446,50000000,450
0.00377,0.399627146,50000000,450
0.00378,0.381046474,50000000,450
0.00379,0.401054477,50000000,450
0.0038,0.409460734,50000000,450
0.00381,0.409093701,50000000,450
0.00382,0.413978082,50000000,450
0.00383,0.412371968,50000000,450
0.00384,0.411520624,50000000,450
0.00385,0.410986966,50000000,450
0.00386,0.421652465,50000000,450
0.00387,0.402738219,50000000,450
0.00388,0.423895789,50000000,450
0.00389,0.416377714,50000000,450
0.0039,0.406314789,50000000,450
0.00391,0.402125868,50000000,450
0.00392,0.40909494,50000000,450
0.00393,0.410298961,50000000,450
0.00394,0.408200138,50000000,450
0.00395,0.407464642,50000000,450
0.00396,0.406512772,50000000,450
0.00397,0.418466744,50000000,450
0.00398,0.419086721,50000000,450
0.00399,0.40908074,50000000,450
0.004,0.406470309,50000000,450
0.00401,0.425405223,50000000,450
0.00402,0.402664533,50000000,450
0.00403,0.420312438,50000000,450
0.00404,0.411542843,50000000,450
0.00405,0.402844042,50000000,450
0.00406,0.418272416,50000000,450
0.00407,0.432048936,50000000,450
0.00408,0.41154127,50000000,450
0.00409,0.419293867,50000000,450
0.0041,0.412810558,50000000,450
0.00411,0.411928411,50000000,450
0.00412,0.418798038,50000000,450
0.00413,0.417017398,50000000,450
0.00414,0.42942874,50000000,450
0.00415,0.428445298,50000000,450
0.00416,0.432968978,50000000,450
0.00417,0.441163955,50000000,450
0.00418,0.39909409,50000000,450
0.00419,0.428409263,50000000,450
0.0042,0.428560578,50000000,450
0.00421,0.423078855,50000000,450
0.00422,0.416214361,50000000,450
0.00423,0.420542047,50000000,450
0.00424,0.42743668,50000000,450
0.00425,0.440695243,50000000,450
0.00426,0.440149804,50000000,450
0.00427,0.44282025,50000000,450
0.00428,0.431051925,50000000,450
0.00429,0.445345118,50000000,450
0.0043,0.419738577,50000000,450
0.00431,0.430356293,50000000,450
0.00432,0.451559999,50000000,450
0.00433,0.437591779,50000000,450
0.00434,0.433732821,50000000,450
0.00435,0.423286517,50000000,450
0.00436,0.428102411,50000000,450
0.00437,0.42622332,50000000,450
0.00438,0.435647147,50000000,450
0.00439,0.440601818,50000000,450
0.0044,0.431754977,50000000,450
0.00441,0.424888121,50000000,450
0.00442,0.433729957,50000000,450
0.00443,0.444937793,50000000,450
0.00444,0.438517886,50000000,450
0.00445,0.425810808,50000000,450
0.00446,0.426306384,50000000,450
0.00447,0.445919676,50000000,450
0.00448,0.436175244,50000000,450
0.00449,0.458838141,50000000,450
